Date,Open,High,Low,Close,Adj Close,Volume
03.05.2016,84132.89,84290.46,80885.22,81069.75,81069.75,866869600
04.05.2016,81000.6,81040.11,79070.14,79382.62,79382.62,936918600
05.05.2016,77712.51,79907.82,77519.53,78698.84,78698.84,1048299000
06.05.2016,78724.89,78800.96,77209.05,78368.06,78368.06,958974700
09.05.2016,79031.71,79736.95,78878.87,79062.1,79062.1,610080800
10.05.2016,79108.78,79465.96,78403.18,78802.38,78802.38,673319700
11.05.2016,78906.87,79166.8,78023.3,79027.81,79027.81,707761300
12.05.2016,79078.68,79570.21,78246.44,78304.21,78304.21,664617100
13.05.2016,77936.24,78597.42,77586.12,77808.43,77808.43,602913900
16.05.2016,77959.97,78201.25,76701.16,76999.7,76999.7,480371000
17.05.2016,77445.93,77765.26,76449.51,77277.19,77277.19,637610100
18.05.2016,77026.29,77574.72,76479.04,77243.88,77243.88,691388700
20.05.2016,77209.47,77491.62,76302.44,76357.74,76357.74,640737700
23.05.2016,76533.5,76969.29,76207.57,76765.85,76765.85,485791000
24.05.2016,76526.41,79505.25,76459.51,79434.6,79434.6,967138000
25.05.2016,79472.58,79941.01,78593.41,78609.06,78609.06,691218700
26.05.2016,78313.97,78604.49,77613.53,78035.63,78035.63,681820800
27.05.2016,78140.69,78509.43,77801.7,78028.9,78028.9,497493800
30.05.2016,77948.05,78868.64,77948.05,78535.24,78535.24,482429400
31.05.2016,78951.86,79105.57,77803.41,77803.41,77803.41,612652500
01.06.2016,77911.71,78042.85,77022.07,77034.93,77034.93,586554800
02.06.2016,77271.26,77445.4,76233.8,76272.1,76272.1,450948600
03.06.2016,76549.37,78483.87,76486.18,78139.49,78139.49,569668700
06.06.2016,78520.97,78957.48,78334.72,78592.83,78592.83,478162200
07.06.2016,78968.39,79419.71,78023.54,78157.62,78157.62,644556700
08.06.2016,78364.42,79063.15,77721.56,78832.65,78832.65,633894900
09.06.2016,78845.09,78953.67,77656.1,77711.73,77711.73,569247300
10.06.2016,77703.08,77838.94,76723.22,76887.29,76887.29,488952300
13.06.2016,76468.27,76555.98,75385.75,76534.23,76534.23,551407200
14.06.2016,76408.47,76615.61,75356.92,75759.53,75759.53,634845100
15.06.2016,76304.23,76591.63,76061.72,76237.35,76237.35,537491600
16.06.2016,75870.37,76088.9,74671.68,74671.68,74671.68,442923300
17.06.2016,75347.49,75791.5,74913.95,75430.53,75430.53,561019100
20.06.2016,76446.18,77528.75,76400.52,77523.09,77523.09,498004700
21.06.2016,77559.36,78060.6,77317.76,77531.37,77531.37,582245000
22.06.2016,77687.03,77999.54,77139.23,77267.46,77267.46,445510200
23.06.2016,77550.19,78350.76,77211.05,77989.87,77989.87,598357700
24.06.2016,74073.82,75528.64,74016.71,75366,75366,672211600
27.06.2016,75458.45,75907.87,74881.89,75161.24,75161.24,741292900
28.06.2016,75855.2,77093.44,75855.2,76929.34,76929.34,611511400
29.06.2016,76744.17,77386.33,76355.14,76711.97,76711.97,735597700
30.06.2016,76916.56,77369.32,76498.71,76817.19,76817.19,576700400
01.07.2016,77177.59,77952.11,77177.59,77952.11,77952.11,427266300
04.07.2016,78120.41,78387.7,78000.11,78387.7,78387.7,166933300
08.07.2016,78185.44,78347.12,77649.86,78019.48,78019.48,468425800
11.07.2016,78626.07,79290.59,78626.07,79234.95,79234.95,543497400
12.07.2016,79366.26,81141.57,79250.09,81141.57,81141.57,853246800
13.07.2016,81216.61,81639.14,80917.2,81321.74,81321.74,721957100
14.07.2016,81770.18,82699.03,81591.07,82589.76,82589.76,644561200
15.07.2016,82385.58,82825.36,82234.14,82825.36,82825.36,532452700
18.07.2016,80755.89,81110.29,75427.59,76957.61,76957.61,1290075000
19.07.2016,76220.41,78338.21,75849.84,76177.82,76177.82,1125439000
20.07.2016,76500.98,76784.46,74597.25,74902.84,74902.84,848650500
